178	http://www.stat-nba.com/coach/178.html	B	Bob MacKinnon	Bob MacKinnon		暂无信息	暂无信息	暂无信息	3年 2支球队 0次进入季后赛	93场 25胜68负 胜率26.9%	0场	0次	0个	暂无信息
179	http://www.stat-nba.com/coach/179.html	J	约翰-麦克劳德	John MacLeod	1937-10-03 00:00:00	New Albany, Indiana	New Providence in Clarksville, Indiana	Bellarmine University	18年 3支球队 11次进入季后赛	1364场 707胜657负 胜率51.8%	101场 47胜54负 胜率46.5%	2次	0个	暂无信息
180	http://www.stat-nba.com/coach/180.html	B	Brendan Malone	Brendan Malone		暂无信息	暂无信息	暂无信息	2年 2支球队 0次进入季后赛	100场 29胜71负 胜率29.0%	0场	0次	0个	暂无信息
181	http://www.stat-nba.com/coach/181.html	M	迈克-马龙	Mike Malone		暂无信息	暂无信息	Loyola College in Maryland	5年 2支球队 0次进入季后赛	352场 158胜194负 胜率44.9%	0场	0次	0个	暂无信息
182	http://www.stat-nba.com/coach/182.html	T	Tom Marshall	Tom Marshall	1931-01-06 00:00:00	暂无信息	Mount Juliet in Mount Juliet, Tennessee	Western Kentucky University	2年 1支球队 0次进入季后赛	129场 35胜94负 胜率27.1%	0场	0次	0个	暂无信息
183	http://www.stat-nba.com/coach/183.html	S	Slater Martin	Slater Martin	1925-10-22 00:00:00	El Mina, Texas	Jefferson Davis in Houston, Texas	University of Texas at Austin	1年 1支球队 0次进入季后赛	8场 5胜3负 胜率62.5%	0场	0次	0个	暂无信息
184	http://www.stat-nba.com/coach/184.html	J	Johnny McCarthy	Johnny McCarthy	1934-04-25 00:00:00	暂无信息	Timon in Buffalo, New York	Canisius College	1年 1支球队 0次进入季后赛	81场 22胜59负 胜率27.2%	0场	0次	0个	暂无信息
185	http://www.stat-nba.com/coach/185.html	J	杰克-麦克罗斯基	Jack McCloskey	1925-09-19 00:00:00	暂无信息	暂无信息	University of Pennsylvania	2年 1支球队 0次进入季后赛	164场 48胜116负 胜率29.3%	0场	0次	0个	暂无信息
186	http://www.stat-nba.com/coach/186.html	D	Dick McGuire	Dick McGuire	1926-01-25 00:00:00	Huntington, New York	La Salle Academy in New York, New York	St. John's University	7年 2支球队 5次进入季后赛	457场 197胜260负 胜率43.1%	25场 9胜16负 胜率36.0%	0次	0个	暂无信息
187	http://www.stat-nba.com/coach/187.html	F	Frank McGuire	Frank McGuire		暂无信息	暂无信息	暂无信息	1年 1支球队 1次进入季后赛	80场 49胜31负 胜率61.3%	12场 6胜6负 胜率50.0%	0次	0个	暂无信息
